DOY,SST
60,-1.59
61,-1.56
62,-1.57
63,-1.59
64,-1.6
65,-1.6
66,-1.56
67,-1.57
68,-1.6
69,-1.61
70,-1.64
71,-1.65
72,-1.65
73,-1.67
74,-1.64
75,-1.63
76,-1.64
77,-1.62
78,-1.61
79,-1.62
80,-1.64
81,-1.67
82,-1.64
83,-1.66
84,-1.64
85,-1.67
86,-1.67
87,-1.64
88,-1.63
89,-1.62
90,-1.58
91,-1.55
92,-1.53
93,-1.48
94,-1.44
95,-1.49
96,-1.51
97,-1.51
98,-1.47
99,-1.44
100,-1.44
101,-1.44
102,-1.37
103,-1.3
104,-1.21
105,-1.12
106,-1.06
107,-1.07
108,-0.98
109,-0.89
110,-0.76
111,-0.67
112,-0.64
113,-0.64
114,-0.56
115,-0.44
116,-0.32
117,-0.25
118,-0.12
119,0.03
120,0.06
121,0.18
122,0.45
123,0.58
124,0.62
125,0.64
126,0.66
127,0.75
128,0.84
129,1.08
130,1.27
131,1.3
132,1.43
133,1.45
134,1.58
135,1.63
136,1.7
137,1.9
138,2.13
139,2.41
140,2.55
141,2.57
142,2.79
143,2.81
144,3.02
145,3.28
146,3.25
147,3.4
148,3.64
149,3.85
150,4.08
151,4.25
152,4.42
153,4.8
154,4.88
155,5.01
156,5.19
157,5.44
158,5.6
159,5.6
160,5.73
161,5.8
162,5.75
163,6.02
164,5.97
165,6.32
166,6.55
167,6.64
168,6.6
169,6.43
170,6.71
171,6.72
172,7.11
173,7.11
174,7.13
175,7.27
176,7.18
177,7.26
178,7.39
179,7.43
180,7.35
181,7.5
182,7.7
183,8.06
184,8.33
185,8.45
186,8.49
187,8.88
188,9.09
189,9.26
190,9.59
191,9.76
192,9.87
193,9.91
194,10.21
195,10.18
196,9.97
197,9.98
198,10.1
199,10.49
200,10.54
201,10.6
202,10.4
203,10.35
204,10.6
205,10.76
206,10.67
207,10.47
208,10.41
209,10.62
210,10.94
211,11
212,11.26
213,11.61
