Time,Qnet
19910101,-3.64
19910102,-3.48
19910103,0.46
19910104,-0.23
19910105,-0.41
19910106,-1.95
19910107,-2.96
19910108,-3.92
19910109,-3.78
19910110,-8.36
19910111,-18.95
19910112,-21.56
19910113,-16.92
19910114,-10.61
19910115,-27.51
19910116,-33.27
19910117,-21.44
19910118,-3.9
19910119,-1.3
19910120,-5.51
19910121,1.91
19910122,2.35
19910123,-1.4
19910124,-0.22
19910125,0.2
19910126,1.32
19910127,-0.03
19910128,-2.72
19910129,-6.23
19910130,-10.69
19910131,-16.94
19910201,-28.17
19910202,-34.23
19910203,-26.98
19910204,-18.43
19910205,-20.98
19910206,-13.4
19910207,-5.93
19910208,-14.08
19910209,1.02
19910210,1.23
19910211,0.94
19910212,-1.83
19910213,-5.76
19910214,-11.96
19910215,-8.18
19910216,-5.85
19910217,-4.33
19910218,-7.63
19910219,-9.25
19910220,-8.1
19910221,-7.15
19910222,-7.14
19910223,-1.44
19910224,-4.21
19910225,0.38
19910226,4.94
19910227,4.73
19910228,3.01
19910301,1.22
19910302,-0.15
19910303,1.59
19910304,1.97
19910305,1.88
19910306,1.92
19910307,-4.26
19910308,-2.13
19910309,-2.2
19910310,2.33
19910311,-1
19910312,2.36
19910313,-1.46
19910314,-6.01
19910315,-5.01
19910316,4.47
19910317,-6.78
19910318,-17.22
19910319,-11.62
19910320,2.05
19910321,2.55
19910322,5.56
19910323,3.68
19910324,2.92
19910325,4.22
19910326,5.19
19910327,0.31
19910328,-2.05
19910329,-9.43
19910330,-2.78
19910331,-1.4
19910401,3.53
19910402,1.71
19910403,3.21
19910404,1.57
19910405,-1.22
19910406,0.41
19910407,2.36
19910408,1.26
19910409,-2.94
19910410,-1.42
19910411,-1.86
19910412,0.99
19910413,6.12
19910414,4.19
19910415,2.4
19910416,3.05
19910417,6.24
19910418,2.5
19910419,6.75
19910420,5.35
19910421,5.82
19910422,1.9
19910423,3.31
19910424,4.01
19910425,4.8
19910426,4.33
19910427,6.13
19910428,6.12
19910429,2.64
19910430,5.45
19910501,7.44
19910502,7.37
19910503,7.64
19910504,3.76
19910505,7.85
19910506,7.85
19910507,7.67
19910508,1.48
19910509,4.71
19910510,4.78
19910511,6.4
19910512,8.01
19910513,7.18
19910514,7.51
19910515,7.23
19910516,7.54
19910517,2.5
19910518,8.32
19910519,6.49
19910520,8.75
19910521,9.12
19910522,9.01
19910523,6.6
19910524,7.12
19910525,8.51
19910526,8.32
19910527,7.33
19910528,5.9
19910529,6.01
19910530,4.05
19910531,4.76
19910601,6.96
19910602,6.06
19910603,7.77
19910604,8.39
19910605,9.82
19910606,6.19
19910607,6.9
19910608,10.01
19910609,9.38
19910610,8.14
19910611,6.34
19910612,4.08
19910613,9.39
19910614,7.57
19910615,4.78
19910616,2.7
19910617,3.06
19910618,7.11
19910619,8.73
19910620,8.31
19910621,8.2
19910622,7.99
19910623,4.34
19910624,4.49
19910625,3.78
19910626,2.72
19910627,3.42
19910628,5.22
19910629,8.53
19910630,6.1
19910701,7.37
19910702,8.2
19910703,10.06
19910704,10.86
19910705,7.67
19910706,9.45
19910707,8.46
19910708,7.47
19910709,6.12
19910710,5.25
19910711,6.8
19910712,4.88
19910713,5.01
19910714,2.43
19910715,4.33
19910716,-0.11
19910717,4.04
19910718,5.07
19910719,4.86
19910720,3.12
19910721,6.34
19910722,8.4
19910723,8.25
19910724,5.42
19910725,7.82
19910726,4.03
19910727,3.65
19910728,2.62
19910729,3.93
19910730,5.29
19910731,5.17
19910801,4.95
19910802,6.41
19910803,4.76
19910804,3.41
19910805,8.17
19910806,7.26
19910807,2.08
19910808,0.22
19910809,3.12
19910810,6.15
19910811,5.95
19910812,3.8
19910813,2.58
19910814,1.41
19910815,4.93
19910816,4.25
19910817,5.73
19910818,1.21
19910819,4.66
19910820,2.88
19910821,4.16
19910822,3.75
19910823,1.14
19910824,6.15
19910825,1.35
19910826,2.12
19910827,3.62
19910828,0.49
19910829,1.61
19910830,2.03
19910831,1.42
19910901,0.34
19910902,3.62
19910903,2.07
19910904,2.21
19910905,3.39
19910906,2.29
19910907,2.3
19910908,2.19
19910909,3.4
19910910,2.05
19910911,2.99
19910912,-1.35
19910913,-0.85
19910914,1.61
19910915,1.43
19910916,1.78
19910917,1.41
19910918,1.19
19910919,0.2
19910920,-1.47
19910921,-0.44
19910922,-0.69
19910923,1.68
19910924,0.79
19910925,-2.4
19910926,-3.94
19910927,0.18
19910928,0.18
19910929,-0.68
19910930,-1.21
19911001,-1.83
19911002,0.48
19911003,0.31
19911004,-1.28
19911005,-3.02
19911006,-0.91
19911007,-2.54
19911008,-7.65
19911009,-8.7
19911010,-4.28
19911011,-1.2
19911012,-0.64
19911013,-8.01
19911014,-8.71
19911015,-4.41
19911016,0.27
19911017,0.78
19911018,-1.54
19911019,-5.04
19911020,-3.99
19911021,-3.34
19911022,-0.72
19911023,0.42
19911024,-1.51
19911025,-4.35
19911026,1.06
19911027,-0.26
19911028,-1.47
19911029,-0.41
19911030,-0.46
19911031,2.65
19911101,1.1
19911102,-0.72
19911103,-0.62
19911104,-1.09
19911105,-1.19
19911106,0.17
19911107,-1.2
19911108,-0.32
19911109,-8.23
19911110,-15.89
19911111,-8.27
19911112,-7.27
19911113,-4.34
19911114,-2.84
19911115,-3.09
19911116,-4.82
19911117,-10.47
19911118,-17.33
19911119,-14.8
19911120,-6.05
19911121,-2.56
19911122,-6.73
19911123,-19.27
19911124,-20.71
19911125,-14.13
19911126,-4.85
19911127,-4.2
19911128,-1.81
19911129,-2.59
19911130,-3.33
19911201,-3.49
19911202,-1.94
19911203,0.43
19911204,-1.22
19911205,-9.32
19911206,-4.08
19911207,-7.34
19911208,-6.83
19911209,-5.74
19911210,-6.54
19911211,-6.14
19911212,-7.61
19911213,-4.55
19911214,-4.92
19911215,-8.89
19911216,-10.18
19911217,-8.72
19911218,-7.76
19911219,-12.17
19911220,-11.24
19911221,-14.06
19911222,-4.07
19911223,-19.78
19911224,-26.51
19911225,-15.41
19911226,-7.51
19911227,-15.01
19911228,-9.73
19911229,-17.98
19911230,-9.47
19911231,-7.89
19920101,-4.14
19920102,-5.87
19920103,-6.5
19920104,-5.77
19920105,-3.37
19920106,-2.21
19920107,-7.52
19920108,-8.6
19920109,-9.14
19920110,-5.23
19920111,-5.12
19920112,-1.78
19920113,-4.05
19920114,-2.2
19920115,-3.01
19920116,-2.86
19920117,-3.39
19920118,-3.44
19920119,-1.65
19920120,-1.91
19920121,-2.2
19920122,-1.26
19920123,-0.48
19920124,-2.11
19920125,-4.4
19920126,-5.71
19920127,-15.92
19920128,-19.82
19920129,-20.51
19920130,-20.06
19920131,-12.88
19920201,-9.8
19920202,-12.38
19920203,-9.54
19920204,-7.96
19920205,-9.78
19920206,-10.37
19920207,-2.63
19920208,1.69
19920209,0.75
19920210,-1.72
19920211,1.23
19920212,-1.77
19920213,-1.92
19920214,-0.45
19920215,0.01
19920216,-0.76
19920217,-1.22
19920218,-1.34
19920219,-3.51
19920220,-5.08
19920221,-17.8
19920222,-17.61
19920223,-17.28
19920224,-15.65
19920225,-7.68
19920226,-5.18
19920227,-5.7
19920228,-7.86
19920229,-7.39
19920301,-2.42
19920302,-0.96
19920303,-0.53
19920304,-0.92
19920305,-4.47
19920306,-0.78
19920307,-1.94
19920308,-3.32
19920309,-0.38
19920310,-5.5
19920311,-4.81
19920312,-0.01
19920313,-1.68
19920314,1
19920315,1.46
19920316,1.42
19920317,1.14
19920318,3.37
19920319,0.8
19920320,-8.59
19920321,-5.09
19920322,-0.36
19920323,2.2
19920324,1.27
19920325,-4.99
19920326,0.08
19920327,0.27
19920328,3.14
19920329,1.64
19920330,0.4
19920331,-3.12
19920401,-7.66
19920402,-3.71
19920403,-0.78
19920404,0.31
19920405,2.22
19920406,2.41
19920407,1.6
19920408,2.59
19920409,2.27
19920410,1.1
19920411,-2.04
19920412,-5.12
19920413,-2.68
19920414,4.32
19920415,5.7
19920416,5.94
19920417,5.31
19920418,6.42
19920419,3.76
19920420,1.19
19920421,3.3
19920422,1.56
19920423,4.36
19920424,6.85
19920425,5.74
19920426,3.97
19920427,3.34
19920428,3.34
19920429,3.41
19920430,3.65
19920501,1.96
19920502,0.35
19920503,-1.04
19920504,-1.94
19920505,0.34
19920506,2.2
19920507,2.27
19920508,-0.09
19920509,3.47
19920510,6.03
19920511,3.69
19920512,4.54
19920513,6.22
19920514,6.89
19920515,4.06
19920516,6.09
19920517,7.47
19920518,8.24
19920519,8.38
19920520,8.73
19920521,8.89
19920522,9.41
19920523,9.48
19920524,8.56
19920525,9.84
19920526,7.36
19920527,7.74
19920528,9.18
19920529,9.1
19920530,9.47
19920531,6.54
19920601,7.39
19920602,9.7
19920603,5.99
19920604,8.51
19920605,8.45
19920606,8.79
19920607,8.32
19920608,9.45
19920609,6.3
19920610,10.13
19920611,8.27
19920612,4.32
19920613,10.69
19920614,8.04
19920615,9.48
19920616,4.16
19920617,3.35
19920618,9.4
19920619,9.69
19920620,8.11
19920621,9.2
19920622,10
19920623,9.23
19920624,9.15
19920625,3.12
19920626,4.74
19920627,5.41
19920628,7.68
19920629,5.41
19920630,5.52
19920701,2.25
19920702,7.17
19920703,6.07
19920704,3.31
19920705,1.53
19920706,1.89
19920707,5.78
19920708,6.73
19920709,5.19
19920710,3.59
19920711,2.89
19920712,2.53
19920713,2.69
19920714,3.08
19920715,6.68
19920716,6.61
19920717,6.2
19920718,6.16
19920719,3.52
19920720,4.02
19920721,4.48
19920722,8.13
19920723,6.83
19920724,5.18
19920725,2.88
19920726,4.33
19920727,2.04
19920728,5.53
19920729,6.71
19920730,5.24
19920731,5.04
19920801,7.76
19920802,7.41
19920803,5.75
19920804,5.24
19920805,0.45
19920806,1.31
19920807,2.93
19920808,3.37
19920809,5.54
19920810,1.29
19920811,3.71
19920812,-0.64
19920813,-1.65
19920814,0.78
19920815,4.93
19920816,1.34
19920817,2.42
19920818,3.7
19920819,1.65
19920820,1.88
19920821,1.87
19920822,3.41
19920823,2.31
19920824,3.69
19920825,1.51
19920826,3.54
19920827,1.51
19920828,4.66
19920829,0.35
19920830,2.85
19920831,0.26
19920901,1.48
19920902,1.45
19920903,1.76
19920904,0.83
19920905,-3.34
19920906,0.56
19920907,1.62
19920908,1.43
19920909,-0.19
19920910,1.13
19920911,1.3
19920912,1.17
19920913,1.74
19920914,2.45
19920915,0.9
19920916,-1.71
19920917,1.89
19920918,-4.93
19920919,-6.09
19920920,-4.87
19920921,-3.72
19920922,-4.56
19920923,-4.76
19920924,-6.19
19920925,-4.52
19920926,-4.41
19920927,-1.19
19920928,-10.36
19920929,-4.7
19920930,0.57
19921001,-0.24
19921002,-6.19
19921003,-5.11
19921004,-7.61
19921005,-6.56
19921006,0.52
19921007,-1.07
19921008,-2.7
19921009,-8.31
19921010,-6.83
19921011,-3.59
19921012,0.02
19921013,-0.8
19921014,-1.71
19921015,0.27
19921016,0.76
19921017,-1.55
19921018,-2
19921019,-5.48
19921020,-7.25
19921021,-12.18
19921022,-10.56
19921023,-6.18
19921024,0.21
19921025,-1.92
19921026,-4.46
19921027,-6.9
19921028,-4.62
19921029,-2.18
19921030,-3.59
19921031,-11.38
19921101,-10.81
19921102,-6.94
19921103,-5.31
19921104,-6.33
19921105,-6.71
19921106,-4.75
19921107,-1.82
19921108,-3.77
19921109,-5.96
19921110,-6.96
19921111,-5.96
19921112,-3.99
19921113,-3.49
19921114,-3.9
19921115,-4.53
19921116,-3.15
19921117,-4.13
19921118,-9.33
19921119,-5.37
19921120,-2.23
19921121,-0.11
19921122,-0.3
19921123,-14.22
19921124,-21.84
19921125,-11.59
19921126,-14.71
19921127,-5.19
19921128,-4.73
19921129,-8.77
19921130,-5.24
19921201,-1.83
19921202,-6.96
19921203,-4.82
19921204,-3.39
19921205,-9.21
19921206,-12.76
19921207,-11.17
19921208,-12.31
19921209,-11.93
19921210,-10.48
19921211,-8.18
19921212,-13.76
19921213,-22.91
19921214,-12.13
19921215,-5.63
19921216,0.92
19921217,-0.02
19921218,-2.45
19921219,-2.39
19921220,-3.14
19921221,-7.25
19921222,-1.02
19921223,0.37
19921224,-0.89
19921225,0.23
19921226,-1.14
19921227,1.05
19921228,-0.2
19921229,-2.69
19921230,0.16
19921231,-2.9
19930101,0.31
19930102,-5.03
19930103,-1.93
19930104,4.01
19930105,0.53
19930106,-1.56
19930107,2.2
19930108,0.21
19930109,-3.1
19930110,0.25
19930111,-1.2
19930112,-3.24
19930113,2.67
19930114,-2.21
19930115,-1.82
19930116,-2.71
19930117,-17.19
19930118,-19.21
19930119,-24.59
19930120,-18.71
19930121,-14.28
19930122,-12.15
19930123,-15.09
19930124,-11.11
19930125,-12.52
19930126,-23.06
19930127,-27.41
19930128,-23.24
19930129,-15.56
19930130,-9.13
19930131,-17.32
19930201,-6.49
19930202,-4.29
19930203,-7.59
19930204,-15.57
19930205,-19.45
19930206,-5.89
19930207,1.72
19930208,-1.68
19930209,-0.88
19930210,-0.6
19930211,2.02
19930212,-0.07
19930213,2.13
19930214,-1.46
19930215,-0.1
19930216,1.94
19930217,0.9
19930218,2.69
19930219,3.06
19930220,0.64
19930221,0.73
19930222,0.65
19930223,2.77
19930224,-0.77
19930225,0.94
19930226,0.5
19930227,-0.81
19930228,-7.49
19930301,-5.28
19930302,-1
19930303,0.24
19930304,-2.1
19930305,-5.45
19930306,-2.33
19930307,-3.59
19930308,-2.25
19930309,-0.32
19930310,-0.99
19930311,-2.93
19930312,-0.16
19930313,2.04
19930314,2.75
19930315,1.8
19930316,3.11
19930317,2.6
19930318,1.6
19930319,0.86
19930320,1.6
19930321,-0.23
19930322,-7.91
19930323,-5.66
19930324,-0.13
19930325,1.69
19930326,3.59
19930327,3.49
19930328,3
19930329,3.67
19930330,3.11
19930331,4.03
19930401,4.56
19930402,4.13
19930403,3.93
19930404,3.69
19930405,4.4
19930406,3.17
19930407,4.06
19930408,4.53
19930409,3.64
19930410,2.2
19930411,1.82
19930412,4.31
19930413,4.31
19930414,4.77
19930415,4.2
19930416,3.58
19930417,1.55
19930418,0.4
19930419,5.15
19930420,5.22
19930421,7.09
19930422,6.45
19930423,5.7
19930424,1.82
19930425,-0.65
19930426,3.86
19930427,5.38
19930428,7.44
19930429,7.07
19930430,7
19930501,3.89
19930502,2.98
19930503,5.69
19930504,7.33
19930505,6.94
19930506,4.74
19930507,0.68
19930508,3.79
19930509,3.44
19930510,2.71
19930511,6.78
19930512,7.21
19930513,6.89
19930514,7.28
19930515,5.31
19930516,7.42
19930517,8.35
19930518,3.43
19930519,7.44
19930520,6.79
19930521,4.23
19930522,7.58
19930523,8.74
19930524,4.37
19930525,3.92
19930526,3.33
19930527,8
19930528,8.89
19930529,7.01
19930530,7.46
19930531,8.57
19930601,8.87
19930602,7.4
19930603,9.39
19930604,9.05
19930605,5.65
19930606,6.72
19930607,9.21
19930608,9.28
19930609,5.17
19930610,4.73
19930611,6.66
19930612,7.66
19930613,5.68
19930614,2.31
19930615,5.88
19930616,5.58
19930617,-0.02
19930618,2.26
19930619,4.98
19930620,8.84
19930621,9.88
19930622,6.97
19930623,6.5
19930624,7.27
19930625,6.2
19930626,0.18
19930627,0.85
19930628,4
19930629,4.46
19930630,7.22
19930701,-0.37
19930702,6.57
19930703,4.17
19930704,7.82
19930705,3.35
19930706,6.4
19930707,7.63
19930708,8.06
19930709,6.18
19930710,8.52
19930711,4.07
19930712,2.91
19930713,5.72
19930714,5.43
19930715,4.78
19930716,8.94
19930717,7.12
19930718,7.32
19930719,9.42
19930720,5.67
19930721,6.33
19930722,8.72
19930723,8.42
19930724,4.34
19930725,5.96
19930726,7.95
19930727,2.45
19930728,5.48
19930729,3.55
19930730,4.81
19930731,5.06
19930801,4.74
19930802,2.02
19930803,0.89
19930804,1.42
19930805,3.06
19930806,3.32
19930807,3.96
19930808,4.75
19930809,4.34
19930810,2.9
19930811,2.27
19930812,3.93
19930813,0.47
19930814,2.33
19930815,-2.2
19930816,-1.14
19930817,2.7
19930818,-0.04
19930819,2.07
19930820,0.8
19930821,3.71
19930822,2.59
19930823,0.64
19930824,1.65
19930825,5.57
19930826,4.17
19930827,3.65
19930828,2.32
19930829,3.65
19930830,2.96
19930831,3.95
19930901,1.94
19930902,2.41
19930903,2.43
19930904,2.99
19930905,0.7
19930906,-0.2
19930907,-0.37
19930908,0.94
19930909,0.68
19930910,0.15
19930911,2.03
19930912,2.68
19930913,0.59
19930914,3.03
19930915,0.16
19930916,-7.61
19930917,-1.79
19930918,-2.68
19930919,-0.99
19930920,-1.9
19930921,-4.97
19930922,-2.77
19930923,-3.01
19930924,-1.77
19930925,-1.17
19930926,-1.4
19930927,-0.43
19930928,-1.25
19930929,1.22
19930930,-0.25
19931001,-7.79
19931002,-2.06
19931003,-1.73
19931004,-4.28
19931005,0.7
19931006,1.76
19931007,-4.94
19931008,-4.38
19931009,-3.24
19931010,-2.02
19931011,0.52
19931012,1.83
19931013,0.77
19931014,-0.49
19931015,-0.02
19931016,-3.24
19931017,-3.59
19931018,-3.75
19931019,-5.43
19931020,-4.36
19931021,-1.62
19931022,-3.81
19931023,-1.96
19931024,-3.11
19931025,-9.31
19931026,-4.93
19931027,-3.05
19931028,-0.13
19931029,-2.01
19931030,-2.03
19931031,-3.06
19931101,-5.74
19931102,-2.55
19931103,-0.88
19931104,-0.42
19931105,-1.28
19931106,-1.58
19931107,-2
19931108,-2.71
19931109,-3.86
19931110,-5.25
19931111,-3.56
19931112,-7.79
19931113,-7.87
19931114,-9.84
19931115,-4.1
19931116,-1.63
19931117,-0.49
19931118,-2.53
19931119,-7.32
19931120,-0.84
19931121,-1.3
19931122,-7.25
19931123,-4.64
19931124,-7.34
19931125,-7.46
19931126,-4.05
19931127,-5.67
19931128,-7.25
19931129,-4.81
19931130,-3.82
19931201,-9.56
19931202,-9.4
19931203,-7.15
19931204,-5.21
19931205,-4.51
19931206,-8.07
19931207,-8.5
19931208,-9.3
19931209,-14.43
19931210,-14.85
19931211,-9.87
19931212,-11.66
19931213,-6.84
19931214,-2.58
19931215,-3.17
19931216,-2.86
19931217,-2.48
19931218,-3.55
19931219,-6.45
19931220,-7.12
19931221,-8.49
19931222,-5.72
19931223,-7.89
19931224,-5.58
19931225,-2.25
19931226,-0.73
19931227,-0.7
19931228,-3.4
19931229,-2.85
19931230,-3.08
19931231,-5.76
19940101,-9.88
19940102,-9.27
19940103,-4.12
19940104,-2.7
19940105,-6.27
19940106,-5.3
19940107,-8.37
19940108,-12.56
19940109,-12.35
19940110,-10.13
19940111,-6.62
19940112,-3.67
19940113,-7.36
19940114,-8.56
19940115,-6.55
19940116,-14.13
19940117,-12.87
19940118,-7.8
19940119,-11.38
19940120,-2.16
19940121,-0.76
19940122,-5.08
19940123,-4.48
19940124,-0.43
19940125,-6.42
19940126,-3.86
19940127,-1.66
19940128,-2.2
19940129,0.03
19940130,2.41
19940131,2.7
19940201,1.08
19940202,-1.49
19940203,-1.47
19940204,-1.5
19940205,1.28
19940206,1.34
19940207,-2.64
19940208,-2.19
19940209,-2.71
19940210,0.12
19940211,-8.62
19940212,-13.14
19940213,-12.2
19940214,-11.41
19940215,-7.09
19940216,-3
19940217,0.81
19940218,-1.75
19940219,-3.25
19940220,-1.16
19940221,-3.21
19940222,-8.39
19940223,-9.67
19940224,-7.27
19940225,-5.69
19940226,-5.3
19940227,-7.39
19940228,-17.93
19940301,-23.03
19940302,-23.91
19940303,-26.81
19940304,-17.49
19940305,-13.56
19940306,-11.01
19940307,3.03
19940308,-0.14
19940309,2.97
19940310,2.86
19940311,2.34
19940312,0.37
19940313,-9.19
19940314,-6.78
19940315,-3.39
19940316,-5.99
19940317,-8.64
19940318,-7.56
19940319,-12.8
19940320,-6.1
19940321,-6.72
19940322,0.49
19940323,-0.21
19940324,-8.27
19940325,-12.76
19940326,-4.94
19940327,2.87
19940328,3.69
19940329,2.75
19940330,2.37
19940331,-0.86
19940401,2.54
19940402,5.11
19940403,2.41
19940404,5.83
19940405,4.57
19940406,3.66
19940407,2.64
19940408,-1.29
19940409,-5.78
19940410,-6.96
19940411,1.73
19940412,-0.56
19940413,1.1
19940414,-6.71
19940415,-4.51
19940416,3.8
19940417,3.01
19940418,3.6
19940419,2.17
19940420,2
19940421,-0.25
19940422,-3.21
19940423,-3.7
19940424,-2.24
19940425,0.79
19940426,3.49
19940427,3.24
19940428,4.9
19940429,5.77
19940430,5.87
19940501,5.19
19940502,5.53
19940503,3.49
19940504,3.34
19940505,5.31
19940506,5.01
19940507,5.45
19940508,5.59
19940509,4.85
19940510,5.02
19940511,0.49
19940512,6.57
19940513,7.13
19940514,6.03
19940515,7.29
19940516,8.03
19940517,3.94
19940518,7.04
19940519,3.87
19940520,6.8
19940521,4.66
19940522,9.58
19940523,3.95
19940524,3.96
19940525,4.35
19940526,2.93
19940527,6.68
19940528,8.36
19940529,3.52
19940530,2.19
19940531,3.8
19940601,5.53
19940602,5.72
19940603,7.91
19940604,7.63
19940605,4.15
19940606,6.14
19940607,6.82
19940608,9.79
19940609,10.42
